Taxon,HFD1_D0,HFD1_D14,HFD1_D29,HFD1_D43,HFD2_D0,HFD2_D14,HFD2_D29,HFD2_D43,HFD3_D0,HFD3_D14,HFD3_D29,HFD3_D43,HFD4_D0,HFD4_D14,HFD4_D29,HFD4_D43,LFD1_D0,LFD1_D14,LFD1_D29,LFD1_D43,LFD2_D0,LFD2_D14,LFD2_D29,LFD2_D43,LFD3_D0,LFD3_D14,LFD3_D29,LFD3_D43,LFD4_D0,LFD4_D14,LFD4_D29,LFD4_D43
cellular organisms,2.6115E12,6.428E12,7.0161E12,1.1409E13,3.0608E12,9.6827E12,3.3147E12,7.2404E12,1.1123E12,1.2508E13,3.2389E12,7.1028E12,4.1232E12,1.2838E13,5.0081E12,8.0108E12,2.7733E12,9.2905E12,7.0923E12,7.7894E12,2.924E12,7.5036E12,5.8544E12,9.3774E12,2.5593E12,6.3627E12,5.083E12,5.7469E12,2.8092E12,7.3261E12,4.9472E12,8.8889E12
cellular organisms@Bacteria,6.2878E11,1.6955E12,1.9742E12,2.9778E12,8.9869E11,2.3845E12,8.6468E11,1.8513E12,3.5854E11,3.6482E12,7.8364E11,1.8739E12,1.0027E12,2.8185E12,1.4577E12,1.9246E12,7.8608E11,2.0272E12,1.5891E12,1.8294E12,8.5824E11,1.8391E12,1.2631E12,2.066E12,6.727E11,1.4716E12,1.1635E12,1.2605E12,7.7288E11,1.9856E12,1.3829E12,2.2429E12
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacterales@Erwiniaceae@Buchnera@Buchnera aphidicola,0.0,0.0,0.0,0.0,5.8215E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0887E8,0.0,0.0,0.0,9.0345E7,0.0,0.0,0.0,0.0,2.029E7,0.0,2.1517E7,2.4928E7,0.0,0.0,0.0,1.0372E8,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@_@Competibacteraceae@Candidatus Contendobacter@Candidatus Contendobacter odensis,0.0,0.0,5.4005E7,3.3806E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1057E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Porphyromonas@Porphyromonas cangingivalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@_@Competibacteraceae@_@_,0.0,0.0,5.4005E7,3.3806E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1057E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Legionellales@Legionellaceae@Legionella@Legionella nautarum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6576E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@_@Competibacteraceae@Candidatus Contendobacter@_,0.0,0.0,5.4005E7,3.3806E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1057E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@Desulfobulbaceae@Desulfocapsa@Desulfocapsa sulfexigens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2411E7,0.0,2.5018E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Celeribacter@Celeribacter indicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3272E6,0.0,0.0,0.0,2.0114E7,0.0,0.0,0.0,7.8491E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@_@_@_,0.0,0.0,2.2154E8,3.9565E8,4.93E6,9.2043E7,7.7552E7,1.1547E8,1.6163E7,4.4617E8,7.8661E7,1.7294E8,6.1355E7,6.2902E7,1.8421E8,6.0173E7,6.792E7,7.322E7,7.8967E7,5.3635E7,4.9125E7,2.2629E7,1.7391E7,0.0,0.0,0.0,0.0,9.5293E7,1.957E7,8.4275E7,4.6915E7,4.0073E7
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Myxococcaceae@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiales Family XIII. Incertae Sedis@_@[Eubacterium] sulci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8182E7,0.0,4.1861E7
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Polyangiaceae@_@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2902E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6661E7,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Thalassobius@_,1.4988E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Polyangiaceae@Chondromyces@_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2902E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6661E7,0.0,0.0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Polyangiaceae@Chondromyces@Chondromyces apiculatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2902E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6661E7,0.0,0.0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@_@Flavonifractor@_,2.0656E7,3.4544E8,1.764E8,1.9094E8,7.355E8,4.8409E8,4.6165E8,2.2075E8,1.8887E8,1.176E8,5.5222E7,1.707E8,2.0385E8,4.3471E7,0.0,8.8314E7,1.878E8,2.3362E8,2.7203E7,3.3441E8,9.7286E7,3.2824E8,1.7501E8,1.1112E8,2.168E8,7.5916E7,1.7194E8,1.5349E8,5.0166E8,2.1367E8,2.3026E8,1.242E8
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Pontibacillus@Pontibacillus yanchengensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2564E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
